conditions,match,deviationAway,gabor,corrAns,trials
0,0.0,-2.0,-2.0,left,132
90,0.0,10.0,100.0,right,133
135,0.0,4.0,139.0,right,134
0,0.0,-10.0,-10.0,left,135
135,0.0,-2.0,133.0,left,136
135,0.0,8.0,143.0,right,137
0,1.0,0.0,0.0,up,138
0,1.0,0.0,0.0,up,139
90,0.0,2.0,92.0,right,140
90,1.0,0.0,90.0,up,141
90,0.0,-10.0,80.0,left,142
0,0.0,-4.0,-4.0,left,143
0,0.0,2.0,2.0,right,144
90,1.0,0.0,90.0,up,145
90,1.0,0.0,90.0,up,146
90,0.0,-2.0,88.0,left,147
45,1.0,0.0,45.0,up,148
0,0.0,6.0,6.0,right,149
135,0.0,-10.0,125.0,left,150
0,0.0,-6.0,-6.0,left,151
90,1.0,0.0,90.0,up,152
135,0.0,-4.0,131.0,left,153
45,1.0,0.0,45.0,up,154
0,1.0,0.0,0.0,up,155
0,1.0,0.0,0.0,up,156
135,1.0,0.0,135.0,up,157
0,0.0,2.0,2.0,right,158
45,0.0,2.0,47.0,right,159
135,0.0,8.0,143.0,right,160
45,1.0,0.0,45.0,up,161
0,1.0,0.0,0.0,up,162
45,0.0,-4.0,41.0,left,163
45,0.0,4.0,49.0,right,164
0,0.0,-10.0,-10.0,left,165
45,0.0,-6.0,39.0,left,166
90,1.0,0.0,90.0,up,167
45,0.0,-6.0,39.0,left,168
135,0.0,-6.0,129.0,left,169
135,0.0,2.0,137.0,right,170
45,0.0,2.0,47.0,right,171
45,0.0,-2.0,43.0,left,172
45,0.0,4.0,49.0,right,173
135,1.0,0.0,135.0,up,174
0,0.0,-2.0,-2.0,left,175
45,0.0,-10.0,35.0,left,176
135,0.0,2.0,137.0,right,177
90,1.0,0.0,90.0,up,178
0,0.0,-8.0,-8.0,left,179
0,0.0,-4.0,-4.0,left,180
90,0.0,-2.0,88.0,left,181
90,0.0,10.0,100.0,right,182
45,1.0,0.0,45.0,up,183
0,0.0,-8.0,-8.0,left,184
90,1.0,0.0,90.0,up,185
135,0.0,6.0,141.0,right,186
135,0.0,2.0,137.0,right,187
45,0.0,4.0,49.0,right,188
45,0.0,8.0,53.0,right,189
90,0.0,-10.0,80.0,left,190
0,0.0,-4.0,-4.0,left,191
0,0.0,-2.0,-2.0,left,192
135,0.0,-6.0,129.0,left,193
90,0.0,2.0,92.0,right,194
135,0.0,-6.0,129.0,left,195
0,0.0,10.0,10.0,right,196
90,0.0,4.0,94.0,right,197
0,0.0,-2.0,-2.0,left,198
45,0.0,8.0,53.0,right,199
0,0.0,8.0,8.0,right,200
90,0.0,10.0,100.0,right,201
45,0.0,-8.0,37.0,left,202
0,0.0,6.0,6.0,right,203
90,0.0,8.0,98.0,right,204
135,0.0,2.0,137.0,right,205
135,0.0,-6.0,129.0,left,206
0,0.0,-10.0,-10.0,left,207
90,0.0,-4.0,86.0,left,208
0,1.0,0.0,0.0,up,209
135,0.0,-2.0,133.0,left,210
0,0.0,10.0,10.0,right,211
45,0.0,8.0,53.0,right,212
0,1.0,0.0,0.0,up,213
135,0.0,4.0,139.0,right,214
45,1.0,0.0,45.0,up,215
0,0.0,-4.0,-4.0,left,216
45,0.0,-10.0,35.0,left,217
135,0.0,-10.0,125.0,left,218
45,0.0,-10.0,35.0,left,219
0,0.0,-10.0,-10.0,left,220
135,0.0,2.0,137.0,right,221
135,1.0,0.0,135.0,up,222
0,0.0,4.0,4.0,right,223
0,0.0,6.0,6.0,right,224
45,0.0,6.0,51.0,right,225
0,0.0,8.0,8.0,right,226
135,0.0,2.0,137.0,right,227
135,0.0,2.0,137.0,right,228
45,0.0,10.0,55.0,right,229
45,0.0,2.0,47.0,right,230
0,0.0,-2.0,-2.0,left,231
45,1.0,0.0,45.0,up,232
0,0.0,10.0,10.0,right,233
135,0.0,6.0,141.0,right,234
135,0.0,10.0,145.0,right,235
45,0.0,-2.0,43.0,left,236
90,1.0,0.0,90.0,up,237
90,0.0,4.0,94.0,right,238
45,0.0,4.0,49.0,right,239
0,1.0,0.0,0.0,up,240
0,0.0,4.0,4.0,right,241
45,0.0,-2.0,43.0,left,242
90,0.0,2.0,92.0,right,243
0,0.0,10.0,10.0,right,244
90,0.0,-10.0,80.0,left,245
90,0.0,2.0,92.0,right,246
0,0.0,8.0,8.0,right,247
45,0.0,-2.0,43.0,left,248
90,0.0,2.0,92.0,right,249
90,1.0,0.0,90.0,up,250
90,0.0,10.0,100.0,right,251
45,1.0,0.0,45.0,up,252
45,0.0,4.0,49.0,right,253
45,0.0,-8.0,37.0,left,254
0,0.0,6.0,6.0,right,255
90,0.0,6.0,96.0,right,256
135,0.0,-2.0,133.0,left,257
90,0.0,10.0,100.0,right,258
90,0.0,8.0,98.0,right,259
135,0.0,-8.0,127.0,left,260
135,0.0,-6.0,129.0,left,261
45,0.0,4.0,49.0,right,262
0,0.0,-8.0,-8.0,left,263
135,0.0,6.0,141.0,right,264
90,0.0,2.0,92.0,right,265
45,0.0,10.0,55.0,right,266
90,1.0,0.0,90.0,up,267
90,0.0,-10.0,80.0,left,268
45,1.0,0.0,45.0,up,269
135,0.0,8.0,143.0,right,270
45,0.0,10.0,55.0,right,271
90,0.0,-8.0,82.0,left,272
45,0.0,6.0,51.0,right,273
0,0.0,-6.0,-6.0,left,274
45,0.0,-6.0,39.0,left,275
0,0.0,-2.0,-2.0,left,276
45,0.0,-2.0,43.0,left,277
90,0.0,-8.0,82.0,left,278
45,0.0,-6.0,39.0,left,279
0,0.0,-10.0,-10.0,left,280
135,0.0,-6.0,129.0,left,281
135,1.0,0.0,135.0,up,282
0,0.0,-4.0,-4.0,left,283
45,0.0,-4.0,41.0,left,284
135,0.0,6.0,141.0,right,285
0,1.0,0.0,0.0,up,286
45,0.0,-8.0,37.0,left,287
135,0.0,-2.0,133.0,left,288
0,1.0,0.0,0.0,up,289
135,0.0,-6.0,129.0,left,290
135,1.0,0.0,135.0,up,291
0,0.0,2.0,2.0,right,292
135,0.0,10.0,145.0,right,293
45,0.0,2.0,47.0,right,294
135,1.0,0.0,135.0,up,295
135,0.0,6.0,141.0,right,296
0,1.0,0.0,0.0,up,297
135,1.0,0.0,135.0,up,298
135,0.0,4.0,139.0,right,299
45,0.0,10.0,55.0,right,300
45,1.0,0.0,45.0,up,301
45,1.0,0.0,45.0,up,302
0,1.0,0.0,0.0,up,303
0,0.0,-10.0,-10.0,left,304
0,1.0,0.0,0.0,up,305
90,0.0,-6.0,84.0,left,306
0,0.0,-8.0,-8.0,left,307
0,0.0,8.0,8.0,right,308
90,1.0,0.0,90.0,up,309
90,0.0,-6.0,84.0,left,310
0,0.0,6.0,6.0,right,311
45,0.0,-8.0,37.0,left,312
45,0.0,6.0,51.0,right,313
90,0.0,2.0,92.0,right,314
0,0.0,10.0,10.0,right,315
0,1.0,0.0,0.0,up,316
90,0.0,8.0,98.0,right,317
90,0.0,10.0,100.0,right,318
90,0.0,-8.0,82.0,left,319
0,0.0,-4.0,-4.0,left,320
90,1.0,0.0,90.0,up,321
90,0.0,-6.0,84.0,left,322
90,1.0,0.0,90.0,up,323
90,0.0,10.0,100.0,right,324
135,1.0,0.0,135.0,up,325
135,0.0,4.0,139.0,right,326
90,0.0,10.0,100.0,right,327
90,0.0,-10.0,80.0,left,328
45,0.0,-2.0,43.0,left,329
0,0.0,8.0,8.0,right,330
135,0.0,-2.0,133.0,left,331
90,1.0,0.0,90.0,up,332
135,0.0,4.0,139.0,right,333
135,0.0,-2.0,133.0,left,334
0,0.0,-6.0,-6.0,left,335
135,0.0,4.0,139.0,right,336
45,0.0,6.0,51.0,right,337
90,0.0,8.0,98.0,right,338
135,0.0,8.0,143.0,right,339
0,0.0,10.0,10.0,right,340
45,0.0,8.0,53.0,right,341
90,1.0,0.0,90.0,up,342
0,0.0,4.0,4.0,right,343
90,0.0,2.0,92.0,right,344
0,1.0,0.0,0.0,up,345
135,0.0,6.0,141.0,right,346
90,0.0,-8.0,82.0,left,347
45,1.0,0.0,45.0,up,348
45,0.0,-4.0,41.0,left,349
135,0.0,4.0,139.0,right,350
135,0.0,-4.0,131.0,left,351
135,0.0,-4.0,131.0,left,352
135,0.0,-6.0,129.0,left,353
0,0.0,8.0,8.0,right,354
90,0.0,-6.0,84.0,left,355
90,0.0,6.0,96.0,right,356
135,1.0,0.0,135.0,up,357
90,0.0,-8.0,82.0,left,358
0,0.0,-10.0,-10.0,left,359
90,0.0,-2.0,88.0,left,360
135,0.0,8.0,143.0,right,361
90,0.0,-4.0,86.0,left,362
90,0.0,-8.0,82.0,left,363
45,0.0,6.0,51.0,right,364
135,0.0,-4.0,131.0,left,365
135,0.0,-10.0,125.0,left,366
45,0.0,2.0,47.0,right,367
90,1.0,0.0,90.0,up,368
90,0.0,-8.0,82.0,left,369
45,0.0,8.0,53.0,right,370
0,0.0,6.0,6.0,right,371
45,0.0,6.0,51.0,right,372
135,1.0,0.0,135.0,up,373
45,0.0,10.0,55.0,right,374
90,0.0,10.0,100.0,right,375
45,0.0,10.0,55.0,right,376
135,0.0,-10.0,125.0,left,377
135,0.0,4.0,139.0,right,378
45,1.0,0.0,45.0,up,379
90,1.0,0.0,90.0,up,380
135,1.0,0.0,135.0,up,381
45,0.0,-10.0,35.0,left,382
45,0.0,4.0,49.0,right,383
90,0.0,-6.0,84.0,left,384
0,0.0,8.0,8.0,right,385
0,0.0,8.0,8.0,right,386
0,0.0,2.0,2.0,right,387
90,0.0,-6.0,84.0,left,388
90,0.0,10.0,100.0,right,389
45,0.0,-10.0,35.0,left,390
135,1.0,0.0,135.0,up,391
45,0.0,8.0,53.0,right,392
90,1.0,0.0,90.0,up,393
45,0.0,8.0,53.0,right,394
135,1.0,0.0,135.0,up,395
90,0.0,-10.0,80.0,left,396
45,0.0,2.0,47.0,right,397
90,0.0,-10.0,80.0,left,398
45,0.0,-6.0,39.0,left,399
45,1.0,0.0,45.0,up,400
90,0.0,10.0,100.0,right,401
90,1.0,0.0,90.0,up,402
135,0.0,8.0,143.0,right,403
0,0.0,8.0,8.0,right,404
45,0.0,2.0,47.0,right,405
45,0.0,6.0,51.0,right,406
90,1.0,0.0,90.0,up,407
90,0.0,-10.0,80.0,left,408
0,1.0,0.0,0.0,up,409
45,1.0,0.0,45.0,up,410
45,0.0,4.0,49.0,right,411
135,0.0,-4.0,131.0,left,412
90,0.0,-4.0,86.0,left,413
135,0.0,-6.0,129.0,left,414
45,0.0,-10.0,35.0,left,415
45,1.0,0.0,45.0,up,416
45,0.0,6.0,51.0,right,417
0,0.0,-2.0,-2.0,left,418
0,1.0,0.0,0.0,up,419
135,0.0,-2.0,133.0,left,420
45,1.0,0.0,45.0,up,421
45,0.0,-2.0,43.0,left,422
90,0.0,8.0,98.0,right,423
90,0.0,8.0,98.0,right,424
0,0.0,-2.0,-2.0,left,425
45,1.0,0.0,45.0,up,426
0,1.0,0.0,0.0,up,427
45,0.0,-6.0,39.0,left,428
45,0.0,6.0,51.0,right,429
0,0.0,-8.0,-8.0,left,430
45,1.0,0.0,45.0,up,431
0,1.0,0.0,0.0,up,432
135,0.0,6.0,141.0,right,433
0,1.0,0.0,0.0,up,434
45,0.0,-6.0,39.0,left,435
90,0.0,-6.0,84.0,left,436
135,1.0,0.0,135.0,up,437
90,0.0,-6.0,84.0,left,438
90,0.0,-6.0,84.0,left,439
90,1.0,0.0,90.0,up,440
45,1.0,0.0,45.0,up,441
45,0.0,2.0,47.0,right,442
0,0.0,-10.0,-10.0,left,443
45,0.0,-8.0,37.0,left,444
0,0.0,8.0,8.0,right,445
0,1.0,0.0,0.0,up,446
0,0.0,-10.0,-10.0,left,447
135,1.0,0.0,135.0,up,448
45,0.0,-10.0,35.0,left,449
45,0.0,-10.0,35.0,left,450
135,1.0,0.0,135.0,up,451
135,0.0,-10.0,125.0,left,452
45,0.0,-2.0,43.0,left,453
0,1.0,0.0,0.0,up,454
0,0.0,2.0,2.0,right,455
90,0.0,4.0,94.0,right,456
0,0.0,-4.0,-4.0,left,457
0,1.0,0.0,0.0,up,458
45,1.0,0.0,45.0,up,459
135,1.0,0.0,135.0,up,460
45,0.0,-8.0,37.0,left,461
45,0.0,8.0,53.0,right,462
135,0.0,2.0,137.0,right,463
45,0.0,2.0,47.0,right,464
0,1.0,0.0,0.0,up,465
0,0.0,8.0,8.0,right,466
90,1.0,0.0,90.0,up,467
90,0.0,10.0,100.0,right,468
0,0.0,-8.0,-8.0,left,469
135,0.0,8.0,143.0,right,470
45,1.0,0.0,45.0,up,471
45,0.0,4.0,49.0,right,472
90,0.0,2.0,92.0,right,473
0,0.0,-6.0,-6.0,left,474
135,1.0,0.0,135.0,up,475
135,0.0,-8.0,127.0,left,476
45,0.0,-10.0,35.0,left,477
0,1.0,0.0,0.0,up,478
90,0.0,-8.0,82.0,left,479
135,0.0,-6.0,129.0,left,480
135,0.0,-8.0,127.0,left,481
0,0.0,8.0,8.0,right,482
45,0.0,4.0,49.0,right,483
90,0.0,6.0,96.0,right,484
0,0.0,-10.0,-10.0,left,485
45,0.0,10.0,55.0,right,486
45,0.0,-6.0,39.0,left,487
90,0.0,4.0,94.0,right,488
90,0.0,10.0,100.0,right,489
45,0.0,-4.0,41.0,left,490
90,0.0,10.0,100.0,right,491
90,0.0,6.0,96.0,right,492
90,0.0,-6.0,84.0,left,493
0,1.0,0.0,0.0,up,494
0,0.0,-4.0,-4.0,left,495
0,0.0,-6.0,-6.0,left,496
45,0.0,8.0,53.0,right,497
135,0.0,6.0,141.0,right,498
0,0.0,8.0,8.0,right,499
90,0.0,4.0,94.0,right,500
45,0.0,-2.0,43.0,left,501
45,0.0,-2.0,43.0,left,502
90,0.0,6.0,96.0,right,503
0,0.0,6.0,6.0,right,504
135,0.0,10.0,145.0,right,505
135,0.0,2.0,137.0,right,506
135,0.0,-8.0,127.0,left,507
90,0.0,-10.0,80.0,left,508
90,0.0,4.0,94.0,right,509
0,1.0,0.0,0.0,up,510
0,1.0,0.0,0.0,up,511
45,1.0,0.0,45.0,up,512
90,0.0,-2.0,88.0,left,513
90,1.0,0.0,90.0,up,514
0,0.0,-8.0,-8.0,left,515
0,0.0,4.0,4.0,right,516
135,0.0,-8.0,127.0,left,517
45,0.0,-2.0,43.0,left,518
135,0.0,6.0,141.0,right,519
45,1.0,0.0,45.0,up,520
0,0.0,-2.0,-2.0,left,521
135,0.0,-4.0,131.0,left,522
90,1.0,0.0,90.0,up,523
45,0.0,-2.0,43.0,left,524
45,0.0,-2.0,43.0,left,525
0,0.0,-2.0,-2.0,left,526
90,0.0,-6.0,84.0,left,527
90,1.0,0.0,90.0,up,528
45,0.0,-4.0,41.0,left,529
135,0.0,4.0,139.0,right,530
135,0.0,-8.0,127.0,left,531
0,0.0,-6.0,-6.0,left,532
45,0.0,10.0,55.0,right,533
0,0.0,4.0,4.0,right,534
90,0.0,-2.0,88.0,left,535
135,1.0,0.0,135.0,up,536
135,0.0,-4.0,131.0,left,537
0,0.0,-2.0,-2.0,left,538
45,0.0,-10.0,35.0,left,539
90,0.0,6.0,96.0,right,540
45,1.0,0.0,45.0,up,541
135,0.0,8.0,143.0,right,542
0,1.0,0.0,0.0,up,543
90,0.0,-8.0,82.0,left,544
135,0.0,8.0,143.0,right,545
45,0.0,-10.0,35.0,left,546
90,0.0,4.0,94.0,right,547
90,0.0,10.0,100.0,right,548
45,0.0,-8.0,37.0,left,549
90,1.0,0.0,90.0,up,550
135,1.0,0.0,135.0,up,551
90,0.0,-6.0,84.0,left,552
135,0.0,4.0,139.0,right,553
135,0.0,10.0,145.0,right,554
135,1.0,0.0,135.0,up,555
90,0.0,10.0,100.0,right,556
135,0.0,-6.0,129.0,left,557
90,0.0,-4.0,86.0,left,558
45,0.0,6.0,51.0,right,559
135,0.0,4.0,139.0,right,560
0,0.0,6.0,6.0,right,561
135,1.0,0.0,135.0,up,562
45,1.0,0.0,45.0,up,563
90,0.0,2.0,92.0,right,564
0,0.0,-10.0,-10.0,left,565
0,0.0,-8.0,-8.0,left,566
45,1.0,0.0,45.0,up,567
90,0.0,10.0,100.0,right,568
0,0.0,-8.0,-8.0,left,569
45,0.0,-8.0,37.0,left,570
135,0.0,-2.0,133.0,left,571
90,0.0,-4.0,86.0,left,572
45,1.0,0.0,45.0,up,573
90,0.0,-8.0,82.0,left,574
45,0.0,2.0,47.0,right,575
45,0.0,4.0,49.0,right,576
90,0.0,-10.0,80.0,left,577
0,0.0,-10.0,-10.0,left,578
45,1.0,0.0,45.0,up,579
90,1.0,0.0,90.0,up,580
90,1.0,0.0,90.0,up,581
90,0.0,-2.0,88.0,left,582
135,0.0,-6.0,129.0,left,583
90,0.0,-4.0,86.0,left,584
0,0.0,-10.0,-10.0,left,585
0,0.0,-4.0,-4.0,left,586
90,0.0,10.0,100.0,right,587
90,0.0,-8.0,82.0,left,588
0,1.0,0.0,0.0,up,589
0,0.0,4.0,4.0,right,590
0,0.0,2.0,2.0,right,591
0,0.0,4.0,4.0,right,592
135,1.0,0.0,135.0,up,593
90,0.0,-8.0,82.0,left,594
135,0.0,-10.0,125.0,left,595
0,0.0,-6.0,-6.0,left,596
45,0.0,-6.0,39.0,left,597
45,1.0,0.0,45.0,up,598
0,0.0,-6.0,-6.0,left,599
90,1.0,0.0,90.0,up,600
45,0.0,2.0,47.0,right,601
0,0.0,10.0,10.0,right,602
0,0.0,10.0,10.0,right,603
45,1.0,0.0,45.0,up,604
45,0.0,10.0,55.0,right,605
45,1.0,0.0,45.0,up,606
45,0.0,-8.0,37.0,left,607
0,0.0,6.0,6.0,right,608
45,0.0,-4.0,41.0,left,609
90,1.0,0.0,90.0,up,610
135,0.0,4.0,139.0,right,611
0,0.0,8.0,8.0,right,612
45,0.0,4.0,49.0,right,613
45,0.0,4.0,49.0,right,614
45,0.0,-6.0,39.0,left,615
45,1.0,0.0,45.0,up,616
0,1.0,0.0,0.0,up,617
45,1.0,0.0,45.0,up,618
135,1.0,0.0,135.0,up,619
135,1.0,0.0,135.0,up,620
90,1.0,0.0,90.0,up,621
45,1.0,0.0,45.0,up,622
0,0.0,-4.0,-4.0,left,623
90,1.0,0.0,90.0,up,624
135,0.0,10.0,145.0,right,625
0,1.0,0.0,0.0,up,626
90,0.0,4.0,94.0,right,627
135,0.0,8.0,143.0,right,628
0,0.0,6.0,6.0,right,629
0,0.0,-6.0,-6.0,left,630
0,0.0,-10.0,-10.0,left,631
135,1.0,0.0,135.0,up,632
0,0.0,10.0,10.0,right,633
135,0.0,-8.0,127.0,left,634
45,1.0,0.0,45.0,up,635
135,1.0,0.0,135.0,up,636
0,1.0,0.0,0.0,up,637
90,0.0,-4.0,86.0,left,638
90,1.0,0.0,90.0,up,639
135,0.0,4.0,139.0,right,640
0,0.0,4.0,4.0,right,641
90,0.0,-2.0,88.0,left,642
0,1.0,0.0,0.0,up,643
90,0.0,-10.0,80.0,left,644
90,0.0,6.0,96.0,right,645
90,1.0,0.0,90.0,up,646
90,0.0,10.0,100.0,right,647
135,0.0,-6.0,129.0,left,648
45,0.0,8.0,53.0,right,649
90,0.0,4.0,94.0,right,650
45,0.0,-8.0,37.0,left,651
0,1.0,0.0,0.0,up,652
135,0.0,-8.0,127.0,left,653
135,1.0,0.0,135.0,up,654
0,0.0,-2.0,-2.0,left,655
135,1.0,0.0,135.0,up,656
0,0.0,-10.0,-10.0,left,657
45,0.0,-2.0,43.0,left,658
90,1.0,0.0,90.0,up,659
0,0.0,6.0,6.0,right,660
90,0.0,-6.0,84.0,left,661
90,0.0,-8.0,82.0,left,662
135,0.0,-4.0,131.0,left,663
135,0.0,-4.0,131.0,left,664
90,0.0,6.0,96.0,right,665
0,0.0,-4.0,-4.0,left,666
90,0.0,10.0,100.0,right,667
45,1.0,0.0,45.0,up,668
0,0.0,-8.0,-8.0,left,669
0,0.0,10.0,10.0,right,670
90,0.0,10.0,100.0,right,671
90,1.0,0.0,90.0,up,672
45,1.0,0.0,45.0,up,673
135,0.0,-2.0,133.0,left,674
135,0.0,-10.0,125.0,left,675
0,1.0,0.0,0.0,up,676
45,1.0,0.0,45.0,up,677
45,0.0,6.0,51.0,right,678
135,0.0,-10.0,125.0,left,679
0,1.0,0.0,0.0,up,680
135,0.0,8.0,143.0,right,681
135,1.0,0.0,135.0,up,682
90,0.0,10.0,100.0,right,683
90,0.0,4.0,94.0,right,684
45,0.0,4.0,49.0,right,685
135,0.0,2.0,137.0,right,686
90,0.0,-4.0,86.0,left,687
135,0.0,-6.0,129.0,left,688
90,0.0,2.0,92.0,right,689
135,0.0,10.0,145.0,right,690
45,0.0,-10.0,35.0,left,691
90,1.0,0.0,90.0,up,692
0,0.0,-4.0,-4.0,left,693
135,1.0,0.0,135.0,up,694
45,0.0,4.0,49.0,right,695
45,0.0,-8.0,37.0,left,696
0,0.0,-10.0,-10.0,left,697
45,0.0,4.0,49.0,right,698
0,0.0,-2.0,-2.0,left,699
0,0.0,8.0,8.0,right,700
0,1.0,0.0,0.0,up,701
0,0.0,-2.0,-2.0,left,702
0,0.0,-2.0,-2.0,left,703
45,0.0,2.0,47.0,right,704
135,0.0,10.0,145.0,right,705
45,0.0,-6.0,39.0,left,706
0,1.0,0.0,0.0,up,707
135,0.0,-2.0,133.0,left,708
0,0.0,4.0,4.0,right,709
0,0.0,-8.0,-8.0,left,710
45,0.0,10.0,55.0,right,711
135,0.0,-6.0,129.0,left,712
45,0.0,10.0,55.0,right,713
0,0.0,-4.0,-4.0,left,714
90,0.0,8.0,98.0,right,715
0,0.0,-8.0,-8.0,left,716
0,0.0,-6.0,-6.0,left,717
45,1.0,0.0,45.0,up,718
90,0.0,8.0,98.0,right,719
45,0.0,2.0,47.0,right,720
90,0.0,6.0,96.0,right,721
135,0.0,2.0,137.0,right,722
90,0.0,10.0,100.0,right,723
90,1.0,0.0,90.0,up,724
135,0.0,2.0,137.0,right,725
0,1.0,0.0,0.0,up,726
135,0.0,-2.0,133.0,left,727
0,1.0,0.0,0.0,up,728
45,0.0,6.0,51.0,right,729
135,0.0,10.0,145.0,right,730
0,1.0,0.0,0.0,up,731
45,0.0,-6.0,39.0,left,732
45,0.0,-10.0,35.0,left,733
0,0.0,2.0,2.0,right,734
45,0.0,8.0,53.0,right,735
90,1.0,0.0,90.0,up,736
90,0.0,8.0,98.0,right,737
90,0.0,6.0,96.0,right,738
0,0.0,2.0,2.0,right,739
135,0.0,10.0,145.0,right,740
90,0.0,4.0,94.0,right,741
90,0.0,-4.0,86.0,left,742
0,0.0,2.0,2.0,right,743
45,0.0,-2.0,43.0,left,744
135,0.0,-4.0,131.0,left,745
135,1.0,0.0,135.0,up,746
90,0.0,4.0,94.0,right,747
135,1.0,0.0,135.0,up,748
135,0.0,-4.0,131.0,left,749
90,0.0,10.0,100.0,right,750
135,0.0,8.0,143.0,right,751
45,0.0,-2.0,43.0,left,752
0,1.0,0.0,0.0,up,753
45,0.0,8.0,53.0,right,754
45,0.0,-6.0,39.0,left,755
